region,locality,price_usd,area_m2,floor,rooms,expenses,properati_url,lat,lon
Capital Federal,Recoleta,215000.0,35.0,,1.0,3500.0,http://recoleta.properati.com.ar/12j4v_venta_departamentos_recoleta_balcon_gimnasio_sum_sauna_garage_placard_aire-acondicionado_subte-linea-d_subte-linea-h_deptos-temporarios,-34.5889927,-58.4001326
Capital Federal,Recoleta,341550.0,90.0,8.0,2.0,,http://recoleta.properati.com.ar/100t0_venta_departamentos_capital-federal_avenida-pueyrredon_balcon_baulera_suite_jardin_lavadero_parrilla_piscina_terraza_vestidor_garage_re-max-total-v,-34.5880437,-58.3980657
Capital Federal,Monserrat,91156.62,33.0,,,,http://monserrat.properati.com.ar/t05l_venta_departamentos_monserrat,-34.6233199695,-58.3974607122
Capital Federal,Belgrano,105000.0,33.0,1.0,1.0,,http://belgrano.properati.com.ar/zsd5_venta_departamentos_belgrano_balcon_luminoso_aire-acondicionado_imprenta,-34.553897,-58.451939
Capital Federal,Villa del Parque,89681.0,39.0,,1.0,1500.0,http://villa-del-parque.properati.com.ar/12q2f_venta_departamentos_villa-del-parque_parrilla_piscina_sum_lujoso_amenities_subte-linea-a_le-bleu,-34.6288131,-58.4722301
Capital Federal,Villa Pueyrredón,99000.0,42.0,5.0,2.0,,http://villa-pueyrredon.properati.com.ar/1174b_venta_departamentos_villa-pueyrredon_luminoso_urquiza,-34.590144,-58.504588
Capital Federal,Almagro,72000.0,45.0,,2.0,,http://almagro.properati.com.ar/111fx_venta_departamentos_almagro_luminoso_migliorisi-propiedades_cy1,-34.6177126,-58.4217103
Capital Federal,Palermo,116000.0,36.0,,2.0,,http://palermo.properati.com.ar/yk4c_venta_departamentos_almagro_balcon_impecable_estrenar_re-max-city,-34.583754,-58.425947
Capital Federal,Belgrano,87000.0,33.0,2.0,1.0,,http://belgrano.properati.com.ar/fw5y_venta_departamento_belgrano,-34.553292,-58.457291
Capital Federal,,80000.0,50.0,,2.0,,http://capital-federal.properati.com.ar/10ut6_venta_departamentos_capital-federal_garage_lenge-propiedades-suc-luzuriaga,,
Capital Federal,Almagro,90000.0,38.0,,1.0,,http://almagro.properati.com.ar/odc4_venta_departamentos_almagro_rawson-de-dellepiane-elvira-av-_200,-34.6103271,-58.4260507
Capital Federal,Tribunales,145000.0,72.0,,,,http://tribunales.properati.com.ar/x9m9_venta_departamentos_tribunales,-34.6031545441,-58.3932320736
Capital Federal,Balvanera,130000.0,73.0,,3.0,,http://balvanera.properati.com.ar/12tws_venta_departamentos_balvanera_luminoso_lujoso_subte-linea-b_subte-linea-a_subte-linea-h_zuker-propiedades_dkh,-34.6101223,-58.4059406
Capital Federal,Barrio Norte,149000.0,50.0,,,,http://barrio-norte.properati.com.ar/11a34_venta_departamentos_barrio-norte_zarlenga-inmobiliaria_bcl,-34.5835376,-58.4053183
Capital Federal,Once,124000.0,77.0,,3.0,,http://once.properati.com.ar/rsx5_venta_departamentos_once,-34.6060331,-58.398382
Capital Federal,San Telmo,80000.0,45.0,,2.0,,http://san-telmo.properati.com.ar/znee_venta_departamentos_san-telmo_lavadero_patio_garage_placard_solimano-dal-pos-inmuebles,-34.6207821,-58.3759225
Capital Federal,Palermo,140000.0,57.0,,1.0,2100.0,http://palermo.properati.com.ar/rswu_venta_departamentos_palermo,-34.5741034,-58.4419019
Capital Federal,Villa Lugano,78000.0,70.0,,,,http://villa-lugano.properati.com.ar/xhzr_venta_departamentos_villa-lugano_parrilla_aire-acondicionado,-34.6782802,-58.4882456
Capital Federal,Coghlan,159000.0,47.0,,3.0,,http://coghlan.properati.com.ar/12fz1_venta_departamentos_coghlan_jardin_parrilla_patio_piscina_luminoso_cramer,-34.564892,-58.469132
Capital Federal,Barracas,91617.01,48.0,1.0,,,http://barracas.properati.com.ar/p7co_venta_departamentos_barracas_patricos-av-_200,-34.631591,-58.370191
Capital Federal,Palermo,125000.0,52.0,2.0,2.0,,http://palermo.properati.com.ar/112g2_venta_departamentos_palermo_balcon_gimnasio_lavadero_piscina_sum_aire-acondicionado_re-max-premium,-34.5848,-58.44321
Capital Federal,Villa Urquiza,99120.0,39.0,,2.0,,http://villa-urquiza.properati.com.ar/xx03_venta_departamentos_villa-urquiza_balcon_lavadero_garage_placard_estrenar_lexinton-propiedades_cbn,-34.58233,-58.4735425
Capital Federal,Abasto,158000.0,80.0,6.0,3.0,,http://abasto.properati.com.ar/10zc8_venta_departamentos_balvanera_luminoso_garage_re-max-ayres,-34.604548,-58.410187
Capital Federal,Villa Crespo,75500.0,50.0,4.0,2.0,,http://villa-crespo.properati.com.ar/10sti_venta_departamentos_paternal_balcon_lavadero_parrilla_piscina_sum_terraza_garage_aire-acondicionado_re-max-uno,-34.603506,-58.45572
