type,country,region,lat,lon,price_usd,area_m2,floor,rooms,expenses,property_url
apartment,Argentina,Capital Federal,-34.6047834183,-58.4586812499,180000.0,110.0,,4.0,,http://villa-crespo.properati.com.ar/12egq_venta_departamentos_villa-crespo_justo-juan-b-av-_4018_balcon_lavadero_luminoso_dependencias_estudio-lca
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6497002,-58.658073,410000.0,220.0,,,,http://castelar-moron.properati.com.ar/11vgn_venta_casa_castelar_suite_lavadero_parrilla_piscina_quincho_toilette_dependencias_garage_leloir-inmuebles
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.5957086,-58.5669503,180000.0,135.0,,5.0,,http://tres-de-febrero.properati.com.ar/7f7u_venta_casa_tres-de-febrero
apartment,Argentina,Capital Federal,-34.5846508988,-58.4546932614,129000.0,70.0,,,,http://chacarita.properati.com.ar/10qlv_venta_departamentos_chacarita_balcon_lavadero_toilette_placard_losa-radiante_barrera-y-asociados
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6552091,-58.69732,130000.0,140.0,,,,http://ituzaingo-bs-as-g-b-a-zona-oeste.properati.com.ar/11dqu_venta_casa_ituzaingo_jardin_lavadero_parrilla_patio_garage_tortorello-propiedades
apartment,Argentina,Capital Federal,-34.6389789,-58.500115,87000.0,42.0,,,,http://villa-luro.properati.com.ar/12m82_venta_departamentos_villa-luro_balcon_parrilla_patio_garage_aire-acondicionado_inmobiliaria-calot
apartment,Argentina,Capital Federal,-34.6050060697,-58.4001162302,60000.0,28.0,,1.0,,http://once.properati.com.ar/zz0q_venta_departamentos_once_luminoso_placard_ferrari-propiedades_cv8
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6521726,-58.5778671,230000.0,230.0,,5.0,,http://ramos-mejia.properati.com.ar/jmwp_venta_casa_la-matanza_cervantes_1400
apartment,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6445852,-58.5940404,70000.0,55.0,3.0,3.0,,http://haedo.properati.com.ar/l03b_venta_departamentos_haedo
apartment,Argentina,Capital Federal,-34.603898,-58.378617,69000.0,22.0,23.0,2.0,,http://san-nicolas.properati.com.ar/rnju_venta_departamentos_constitucion
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.417629,-58.645755,340000.0,200.0,,,,http://nordelta.properati.com.ar/12qcy_venta_casa_nordelta_suite_lavadero_parrilla_vestidor_dependencias_graciela-santillan-y-asociados
apartment,Argentina,Bs.As. G.B.A. Zona Sur,-34.7575006,-58.391436,89900.0,43.0,2.0,,,http://lomas-de-zamora.properati.com.ar/w64k_venta_departamentos_lomas-de-zamora
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6556141,-58.7573603,110000.0,112.0,,,,http://paso-del-rey.properati.com.ar/zic9_venta_casa_paso-del-rey_balcon_jardin_lavadero_parrilla_patio_piscina_garage_etelman-propiedades
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4869760349,-58.4973583434,270000.0,80.0,,3.0,,http://martinez.properati.com.ar/12q5f_venta_departamentos_martinez_baulera_lavadero_vista_dependencias_garage_placard_dic-propiedades_c80
house,Argentina,Bs.As. G.B.A. Zona Sur,-34.7190399176,-58.3827209473,190000.0,170.0,,6.0,2.0,http://lanus.properati.com.ar/prvj_venta_casa_lanus
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.4120738,-58.591934,380000.0,374.0,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/10ln0_venta_casa_tigre_avenida-liniers_400_suite_lavadero_piscina_terraza_dependencias_garage_mieres-tigre-centro
apartment,Argentina,Capital Federal,-34.615847,-58.459957,118000.0,54.0,,2.0,,http://caballito.properati.com.ar/11wqh_venta_departamentos_caballito_balcon_jardin_garage_placard_losa-radiante_re-max-vanguard
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.5020981,-58.4864188,370000.0,322.0,,,,http://la-lucila.properati.com.ar/zh5r_venta_casa_la-lucila_rawson-guillermo_3200_suite_lavadero_parrilla_toilette_vestidor_dependencias_solimano-dal-pos-inmuebles-la-lucila
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6086244,-58.4134335,370000.0,250.0,,,,http://moreno-bs-as-g-b-a-zona-oeste.properati.com.ar/zjof_venta_casa_moreno_suite_lavadero_parrilla_piscina_toilette_vestidor_oyhanarte-propiedades-moreno
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.5442344904,-58.5705548733,130000.0,100.0,,4.0,,http://villa-ballester.properati.com.ar/xx86_venta_casa_villa-ballester_balcon_lavadero_parrilla_patio_lujoso_garage_aire-acondicionado_dic-propiedades_c80
house,Argentina,Bs.As. G.B.A. Zona Sur,-34.6876542,-58.411321,180000.0,113.0,,4.0,,http://lanus.properati.com.ar/ou3i_venta_casa_lanus
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4713619,-58.5118749,175000.0,107.0,2.0,,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/10deu_venta_departamentos_san-isidro_rivadavia_200_balcon_lavadero_dependencias_valencia-ana-lomas-de-san-isidro
apartment,Argentina,Capital Federal,-34.5985342536,-58.3727964943,78000.0,28.0,3.0,2.0,,http://centro-microcentro.properati.com.ar/118o8_venta_departamentos_capital-federal_reconquista_800_luminoso_re-max-total-iii
apartment,Argentina,Capital Federal,-34.6252219,-58.3823825,57000.0,42.0,5.0,2.0,364.0,http://constitucion.properati.com.ar/k2f0_venta_departamentos_constitucion_lima_1400
apartment,Argentina,Capital Federal,-34.6106102,-58.4125107,90000.0,50.0,,3.0,450.0,http://once.properati.com.ar/suwa_venta_departamentos_once_rivadavia-av-_3200
house,Argentina,Capital Federal,-34.6128418,-58.4697934,470000.0,400.0,,6.0,,http://villa-general-mitre.properati.com.ar/11fm4_venta_casa_villa-general-mitre_balcon_jardin_lavadero_parrilla_patio_piscina_terraza_toilette_dependencias_garage_placard_bertolotti
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4465229,-58.6338743,225000.0,80.0,,3.0,,http://qbay-yacht.properati.com.ar/110ml_venta_departamentos_qbay-yacht_gimnasio_jardin_parrilla_piscina_sum_terraza_luminoso_vista_victorino-de-la-plaza_d04
apartment,Argentina,Capital Federal,-34.6038236,-58.4272911,138000.0,74.0,1.0,3.0,300.0,http://almagro.properati.com.ar/11w6t_venta_departamentos_almagro_lavadero_luminoso_aire-acondicionado_bertolotti
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.5181057,-58.5190446,169000.0,125.0,,,,http://olivos.properati.com.ar/nsxt_venta_casa_olivos_aguero_3300
house,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6481312,-58.5530731,75000.0,55.0,,,,http://ramos-mejia.properati.com.ar/omsm_venta_casa_ramos-mejia
apartment,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6732249882,-58.559036586,47000.0,28.0,,,,http://san-justo-la-matanza.properati.com.ar/v01y_venta_departamentos_san-justo
house,Argentina,Bs.As. G.B.A. Zona Sur,-34.7507566,-58.3774958,140000.0,103.0,,3.0,,http://banfield.properati.com.ar/11pju_venta_casa_banfield_jardin_patio_piscina_garage_placard_cabrera-propiedades_b4e
apartment,Argentina,Capital Federal,-34.5902501054,-58.3874693338,400000.0,130.0,,4.0,5400.0,http://barrio-norte.properati.com.ar/10smf_venta_departamentos_barrio-norte_lavadero_patio_toilette_dependencias_izrastzoff-agentes-inmobiliarios
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.466883,-58.514985,637000.0,117.0,,4.0,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/uvq1_venta_departamentos_san-isidro
apartment,Argentina,Capital Federal,-34.586103,-58.423963,114000.0,32.0,,2.0,,http://palermo.properati.com.ar/11vtx_venta_departamentos_palermo_baulera_luminoso_placard_aire-acondicionado_re-max-premium
apartment,Argentina,Capital Federal,-34.6265182557,-58.4724630529,82000.0,50.0,,2.0,,http://flores.properati.com.ar/12w4k_venta_departamentos_flores_balcon_lavadero_placard_subte-linea-a_hanin-propiedades
apartment,Argentina,Bs.As. G.B.A. Zona Oeste,-34.6600198,-58.6199275,65000.0,50.0,,2.0,,http://moron.properati.com.ar/12kyb_venta_departamentos_moron_balcon_terraza_garage_placard_saad-centurion-propiedades_di6
apartment,Argentina,Bs.As. G.B.A. Zona Oeste,-34.5991655,-58.5638921,75000.0,40.0,7.0,2.0,,http://caseros.properati.com.ar/ws19_venta_departamentos_caseros_bonifacini_4800
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4825743434,-58.5880050364,608599.0,123.0,,4.0,,http://san-isidro-bs-as-g-b-a-zona-norte.properati.com.ar/11krg_venta_departamentos_san-isidro_vizora
house,Argentina,Bs.As. G.B.A. Zona Norte,-34.377612,-58.8226419,90000.0,130.0,,4.0,,http://barrio-cerrado-fincas-de-maschwitz.properati.com.ar/x7in_venta_casa_barrio-cerrado-fincas-de-maschwitz
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.6037232,-58.3815931,170000.0,50.0,2.0,2.0,,http://nordelta.properati.com.ar/o0nf_venta_departamentos_nordelta
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.4349391,-58.5628792,125000.0,80.0,,,,http://san-fernando-bs-as-g-b-a-zona-norte.properati.com.ar/11afa_venta_departamentos_san-fernando_avenida-presidente-teniente-general-juan-domingo-peron_200_balcon_hidromasaje_impecable_placard_resia-y-cia-leo
apartment,Argentina,Capital Federal,-34.5620844,-58.4566864,166000.0,52.0,,2.0,,http://belgrano.properati.com.ar/12tu6_venta_departamentos_belgrano_suite_parrilla_patio_piscina_toilette_amenities_placard_subte-linea-d_zuker-propiedades_dke
apartment,Argentina,Capital Federal,-34.648143,-58.524277,136500.0,71.0,,3.0,,http://liniers.properati.com.ar/11xwz_venta_departamentos_liniers_balcon_terraza_vestidor_luminoso_re-max-urbana
apartment,Argentina,Bs.As. G.B.A. Zona Sur,-34.920001,-57.981985,115000.0,71.0,,3.0,,http://la-plata.properati.com.ar/12dfb_venta_ph_la-plata_balcon_parrilla_terraza_garage_placard_re-max-diagonal-ii
house,Argentina,Bs.As. G.B.A. Zona Sur,-34.742476,-58.280261,86000.0,20.0,,3.0,,http://quilmes.properati.com.ar/12dga_venta_casa_quilmes_jardin_parrilla_patio_garage_re-max-sur
apartment,Argentina,Capital Federal,-34.596715,-58.444045,75000.0,36.0,,2.0,,http://villa-crespo.properati.com.ar/10auc_venta_departamentos_villa-crespo_luminoso_migliorisi-propiedades_cy0
apartment,Argentina,Bs.As. G.B.A. Zona Norte,-34.5444356268,-58.553443858,130000.0,72.0,,,,http://san-martin.properati.com.ar/ea05_venta_departamento_san-martin
